Director Score ,Director Experiecne,Actor 1 Experience ,Actor 1 Score ,Actor 2 Experience ,Actor 2 Score,Actor 3 Experience ,Actor 3 score,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,budget,Class
65239433.33,6,3,47803337,2,13341550.5,5,20669331.6,0,3000,968,939,8189,35000000,7
142232953.3,8,6,61469170.83,1,64572496,1,64572496,128,963,465,371,2054,12000000,3
19357239.8,5,1,33244684,1,33244684,1,33244684,85,311,189,118,760,9000000,5
36000000,1,1,57637485,2,41615058.5,1,57637485,123,14000,850,567,17159,105000000,4
66365476.13,8,7,49428419.57,2,41615058.5,4,37186784,0,2000,850,745,5371,18000000,6
33770028,7,1,85570368,2,46820339.5,1,85570368,0,12000,2000,1000,18291,38000000,2
62646597.5,4,20,57424035.85,2,46820339.5,1,8070311,18,7000,2000,2000,13626,10000000,8
226653447,8,20,57424035.85,4,89609854.75,2,124051759,282,11000,10000,103,21175,180000000,1
210515341,4,8,173449028.3,4,89609854.75,2,124051759,282,11000,10000,103,21175,180000000,1
71741432.67,3,22,74646101.91,4,89609854.75,1,65173160,532,14000,10000,627,26679,209000000,3
35821900,5,9,34786323.11,4,89609854.75,3,122293894.3,0,14000,10000,8000,34565,28000000,4
43664454,2,10,51691219.4,1,33687630,1,33687630,99,17000,1000,960,20109,20000000,5
17951431,1,2,48704139.5,1,14108518,2,7587536.5,6,812,326,258,1882,16000000,7
2133825.5,2,2,2213149.5,1,476270,2,5880463.5,34,486,471,155,1601,20000000,9
2187123,2,2,3529892.5,1,610968,1,610968,346,74,69,26,216,3800000,9
39659,1,1,62480,1,62480,1,62480,4,446,171,150,928,1000000,9
14664905.73,11,1,31487293,1,31487293,2,15793898,6,904,715,617,2807,9000000,5
41167332,4,3,46848541.33,1,50921738,2,28533272,456,19000,1000,286,20499,30000000,4
32931217.29,7,1,92001027,3,52294718,3,70263258,906,1000,1000,906,6315,45000000,2
21527877,3,8,37938128.5,3,52294718,2,155339314,759,11000,1000,933,17873,28000000,8
68231832.5,2,2,60298949,3,52294718,1,60328558,503,13000,1000,1000,18734,32000000,3
1365078,3,2,4397828,1,3447339,2,41731090.5,38,801,727,690,2667,1500000,8
19468313,2,36,91783206.47,2,154193452,2,35647794.5,190,2000,1000,520,4243,40000000,4
284361730,4,1,256386216,2,154193452,2,137020708.5,508,10000,1000,558,13076,150000000,1
21501098,1,9,114034471.2,1,37766350,1,37766350,107,664,551,549,3376,11000000,5
61460285,2,15,59253169.2,4,38225051.5,3,68578778,30,1000,976,268,2636,60000000,2
12567396.14,7,29,61087552.07,4,38225051.5,2,33799895,50,14000,975,494,16722,30000000,7
11543718.5,2,2,20800719,4,38225051.5,1,4301331,99,4000,975,960,7921,4000000,8
44669273,2,3,19468488.67,4,38225051.5,5,20974738,61,1000,976,501,3757,45000000,5
78692452.24,17,28,68430484.25,1,90353764,6,77401163.67,164,8000,2000,723,12556,40000000,2
52121397.33,3,26,94986586.58,1,50300000,1,50300000,46,1000,439,433,2943,30000000,4
121756789.3,4,9,43064507.11,4,27724495,2,146697046,13000,12000,1000,883,16138,70000000,3
15084292,2,1,1712111,4,27724495,1,1712111,83,3000,1000,794,7875,8495000,8
24324538.75,4,2,62089736,4,27724495,3,22966774.33,460,14000,1000,490,16090,25000000,9
143649106.5,8,7,67391998.86,4,27724495,1,42057340,0,2000,1000,828,5642,30000000,4
10880926,1,6,31069601,1,15818967,1,15818967,14,971,479,270,2517,7000000,7
52609260.5,8,12,19671363.17,2,43771291,4,33128819,0,1000,562,458,3215,5000000,4
30706329.25,4,22,55336343.86,2,43771291,4,33128819,0,1000,562,458,3215,5000000,4
8035078.75,4,7,19500889.29,1,4693919,3,53731856.33,0,1000,1000,664,4484,6500000,8
11956207,1,3,15458620.67,1,30102717,1,30102717,23,633,67,51,874,15000000,5
